pre_e,post_e,pre_t,post_t,solar
0.204304644570854,0.215672935531306,0.375313938700623,0.324260929744988,0
0.199829008977633,0.204931410107577,0.370768851434948,0.316306961580616,0
0.195353373384413,0.195944828186673,0.373451310485332,0.316125275534105,0
0.185475195418311,0.186958246265769,0.383066695100717,0.32231904138421,0
0.175199771689498,0.177869263214922,0.401108588752426,0.337799029783282,0
0.166336777339215,0.170589198646721,0.422265727846208,0.359797010775606,0
0.159462954363697,0.167862705507093,0.465431455440336,0.411539799237144,0
0.155202125738462,0.165136212367464,0.568049071215165,0.503912268727848,0
0.155942179881588,0.165110990414276,0.689275652011413,0.668380368207644,0
0.162743910107577,0.173984073545833,1.05292850291487,0.965351754719512,7.56975618343456
0.179728373384413,0.191539814062379,1.44691801021412,1.44023587001845,25.9660241175953
0.216760506152774,0.221209658695147,2.00580246307471,2.10269778315896,55.122788486929
0.260651749090627,0.247569121971983,2.63561238740036,2.461506412485,98.4068303846492
0.273059941181023,0.266449771689498,2.69060159222357,2.50967963327606,145.772819294076
0.263764138114033,0.281739319712096,2.28906159344398,2.26517341790507,189.408942874747
0.244655986378763,0.292791579599102,1.66603608420218,1.99158290580163,317.742716310184
0.223420110672549,0.303695534401362,1.22622570632705,1.61896545273784,473.230789543174
0.199417891140668,0.314694828186673,0.97656275812706,1.51804780922627,455.890766657865
0.1895107079284,0.316663401633,0.810250043319987,1.43040793879046,667.007745797025
0.183262389391946,0.319108669994582,0.722067347539782,1.36979783968807,847.878707860223
0.177283105022831,0.322043874796842,0.672199291820939,1.32130646037773,919.571340551008
0.17813056264995,0.323651143763751,0.638210351921107,1.29497692895277,942.181586127982
0.17927059493405,0.326682822536955,0.636198328027719,1.29121588857502,978.082915236335
0.18041062721815,0.337028867734695,0.694645709870631,1.35732119001877,999.042777924479
0.179507681294017,0.337333422819441,0.624984117163372,1.31669142492282,1000
0.178353291898103,0.335051466604752,0.59255344439301,1.32770407003061,987.578118123405
0.177279573949385,0.324546523101927,0.574505544429454,1.34365466127728,962.943402869466
0.178088189768594,0.320715308412661,0.605574699522047,1.36303871924829,923.917348824927
0.178896805587803,0.317106551350515,0.697156214072309,1.38242277721931,869.685767097967
0.185616438356164,0.316718133271419,0.838127763709112,1.5102425629786,798.928351377519
0.203713189768593,0.333215308412661,1.0843837100893,1.74451370756059,713.196461579086
0.232339602197972,0.358780280164074,1.42052011368621,2.01769289622484,620.841035120148
0.259733669994582,0.386093133271418,1.75803419026278,2.32480307655561,552.933280521081
0.288088189768594,0.424401749090627,1.98227750787285,2.60079606720982,313.627761640701
0.329807822536955,0.44278451745221,2.08516623462729,2.61513429104121,269.265469588945
0.377565590898537,0.458391862084978,2.36251854365144,2.56006513207738,196.967696505589
0.394317003327916,0.469719545700797,2.33343247457651,2.44005773562768,103.501012234838
0.393072047718553,0.46153451745221,2.2224172030833,2.33860121070304,57.8624240823871
0.382014743440909,0.430637624796842,2.08375098069183,2.18559171513841,34.2069360091541
0.354260506152774,0.405188674030095,1.93132288073898,2.04033512442649,6.87659537012587
0.341407398808141,0.384124559825091,1.76514189642275,1.89235283374277,1.08925270662794
0.322819828186672,0.355955421407011,1.56231610135484,1.70206920400592,0.671155708124285
0.294814884683848,0.332672405870289,1.33170176712363,1.48456917925839,0.264061262212833
0.275517568299667,0.306608669994582,1.0359687032235,1.21050248736424,0.264061262212833
0.247268980729046,0.279154573949384,0.733606406256808,0.879939827517692,0.110025525922014
0.221011918582152,0.248257681294016,0.557261884898052,0.665934015612092,0.110025525922014
0.199246381858989,0.223377737791192,0.47096404387744,0.508955092957988,0.110025525922014
0.191548641745995,0.211879885457782,0.431646568608286,0.456235028126934,0.110025525922014
0.204304644570854,0.215672935531306,0.375313938700623,0.324260929744988,0
0.199829008977633,0.204931410107577,0.370768851434948,0.316306961580616,0
0.195353373384413,0.195944828186673,0.373451310485332,0.316125275534105,0
0.185475195418311,0.186958246265769,0.383066695100717,0.32231904138421,0
0.175199771689498,0.177869263214922,0.401108588752426,0.337799029783282,0
0.166336777339215,0.170589198646721,0.422265727846208,0.359797010775606,0
0.159462954363697,0.167862705507093,0.465431455440336,0.411539799237144,0
0.155202125738462,0.165136212367464,0.568049071215165,0.503912268727848,0
0.155942179881588,0.165110990414276,0.689275652011413,0.668380368207644,0
0.162743910107577,0.173984073545833,1.05292850291487,0.965351754719512,7.56975618343456
0.179728373384413,0.191539814062379,1.44691801021412,1.44023587001845,25.9660241175953
0.216760506152774,0.221209658695147,2.00580246307471,2.10269778315896,55.122788486929
0.260651749090627,0.247569121971983,2.63561238740036,2.461506412485,98.4068303846492
0.273059941181023,0.266449771689498,2.69060159222357,2.50967963327606,145.772819294076
0.263764138114033,0.281739319712096,2.28906159344398,2.26517341790507,189.408942874747
0.244655986378763,0.292791579599102,1.66603608420218,1.99158290580163,317.742716310184
0.223420110672549,0.303695534401362,1.22622570632705,1.61896545273784,473.230789543174
0.199417891140668,0.314694828186673,0.97656275812706,1.51804780922627,455.890766657865
0.1895107079284,0.316663401633,0.810250043319987,1.43040793879046,667.007745797025
0.183262389391946,0.319108669994582,0.722067347539782,1.36979783968807,847.878707860223
0.177283105022831,0.322043874796842,0.672199291820939,1.32130646037773,919.571340551008
0.17813056264995,0.323651143763751,0.638210351921107,1.29497692895277,942.181586127982
0.17927059493405,0.326682822536955,0.636198328027719,1.29121588857502,978.082915236335
0.18041062721815,0.337028867734695,0.694645709870631,1.35732119001877,999.042777924479
0.179507681294017,0.337333422819441,0.624984117163372,1.31669142492282,1000
0.178353291898103,0.335051466604752,0.59255344439301,1.32770407003061,987.578118123405
0.177279573949385,0.324546523101927,0.574505544429454,1.34365466127728,962.943402869466
0.178088189768594,0.320715308412661,0.605574699522047,1.36303871924829,923.917348824927
0.178896805587803,0.317106551350515,0.697156214072309,1.38242277721931,869.685767097967
0.185616438356164,0.316718133271419,0.838127763709112,1.5102425629786,798.928351377519
0.203713189768593,0.333215308412661,1.0843837100893,1.74451370756059,713.196461579086
0.232339602197972,0.358780280164074,1.42052011368621,2.01769289622484,620.841035120148
0.259733669994582,0.386093133271418,1.75803419026278,2.32480307655561,552.933280521081
0.288088189768594,0.424401749090627,1.98227750787285,2.60079606720982,313.627761640701
0.329807822536955,0.44278451745221,2.08516623462729,2.61513429104121,269.265469588945
0.377565590898537,0.458391862084978,2.36251854365144,2.56006513207738,196.967696505589
0.394317003327916,0.469719545700797,2.33343247457651,2.44005773562768,103.501012234838
0.393072047718553,0.46153451745221,2.2224172030833,2.33860121070304,57.8624240823871
0.382014743440909,0.430637624796842,2.08375098069183,2.18559171513841,34.2069360091541
0.354260506152774,0.405188674030095,1.93132288073898,2.04033512442649,6.87659537012587
0.341407398808141,0.384124559825091,1.76514189642275,1.89235283374277,1.08925270662794
0.322819828186672,0.355955421407011,1.56231610135484,1.70206920400592,0.671155708124285
0.294814884683848,0.332672405870289,1.33170176712363,1.48456917925839,0.264061262212833
0.275517568299667,0.306608669994582,1.0359687032235,1.21050248736424,0.264061262212833
0.247268980729046,0.279154573949384,0.733606406256808,0.879939827517692,0.110025525922014
0.221011918582152,0.248257681294016,0.557261884898052,0.665934015612092,0.110025525922014
0.199246381858989,0.223377737791192,0.47096404387744,0.508955092957988,0.110025525922014
0.191548641745995,0.211879885457782,0.431646568608286,0.456235028126934,0.110025525922014
